,HorarioH,VelocidadeMaxima,Horário,Gênero,Região,Idade,Ano,Mes,TipoBatida
427,15,50,900,Male,Major Cities of Australia,48,2021,5,2
428,16,60,960,Male,Major Cities of Australia,20,2021,5,2
429,17,100,1065,Male,Inner Regional Australia,52,2021,5,1
431,19,110,1140,Male,Very Remote Australia,28,2021,5,2
432,4,110,285,Male,Outer Regional Australia,27,2021,5,1
434,21,60,1300,Male,Inner Regional Australia,29,2021,5,1
435,10,100,618,Female,Outer Regional Australia,53,2021,5,2
436,6,100,375,Male,Inner Regional Australia,56,2021,5,1
438,16,50,960,Male,Outer Regional Australia,16,2021,5,1
439,16,100,970,Male,Inner Regional Australia,65,2021,5,2
440,10,60,600,Male,Inner Regional Australia,66,2021,5,1
441,11,60,710,Female,Inner Regional Australia,71,2021,5,2
442,17,100,1020,Male,Outer Regional Australia,69,2021,5,1
443,12,80,720,Male,Inner Regional Australia,71,2021,5,2
444,8,60,480,Female,Inner Regional Australia,70,2021,5,1
445,14,100,869,Female,Inner Regional Australia,40,2021,5,1
446,18,100,1125,Male,Inner Regional Australia,61,2021,5,2
447,22,100,1335,Male,Inner Regional Australia,52,2021,5,1
448,1,100,75,Male,Outer Regional Australia,21,2021,5,1
449,18,40,1138,Male,Major Cities of Australia,25,2021,5,2
450,16,100,1015,Male,Inner Regional Australia,37,2021,5,2
451,11,60,660,Female,Major Cities of Australia,90,2021,5,2
452,18,80,1105,Male,Outer Regional Australia,20,2021,5,1
453,20,80,1245,Male,Inner Regional Australia,18,2021,5,1
454,18,50,1082,Male,Inner Regional Australia,17,2021,5,2
455,1,50,65,Male,Very Remote Australia,54,2021,5,1
456,0,50,30,Male,Major Cities of Australia,21,2021,5,1
457,21,50,1285,Male,Outer Regional Australia,20,2021,5,2
458,20,80,1230,Female,Major Cities of Australia,14,2021,5,1
459,1,100,112,Male,Inner Regional Australia,32,2021,5,1
460,15,50,955,Female,Major Cities of Australia,88,2021,5,1
461,18,80,1105,Male,Major Cities of Australia,69,2021,5,1
463,1,60,117,Male,Major Cities of Australia,19,2021,4,1
464,20,60,1220,Female,Major Cities of Australia,46,2021,4,1
466,19,50,1145,Male,Inner Regional Australia,64,2021,4,2
467,21,100,1260,Female,Inner Regional Australia,23,2021,4,1
468,5,80,330,Male,Inner Regional Australia,37,2021,4,1
469,18,130,1080,Male,Remote Australia,30,2021,4,1
470,4,80,265,Female,Inner Regional Australia,43,2021,4,1
471,4,80,265,Male,Inner Regional Australia,47,2021,4,1
472,18,80,1080,Male,Major Cities of Australia,31,2021,4,2
474,23,110,1380,Female,Remote Australia,44,2021,4,1
475,5,100,320,Male,Inner Regional Australia,23,2021,4,2
476,4,80,265,Male,Inner Regional Australia,5,2021,4,1
477,9,60,540,Male,Major Cities of Australia,46,2021,4,2
479,7,100,420,Male,Outer Regional Australia,62,2021,4,1
480,14,80,840,Male,Outer Regional Australia,52,2021,4,1
481,21,70,1260,Male,Major Cities of Australia,55,2021,4,1
484,10,100,608,Male,Outer Regional Australia,62,2021,4,2
485,9,60,550,Male,Major Cities of Australia,30,2021,4,1
487,15,100,915,Male,Outer Regional Australia,58,2021,4,1
488,6,60,418,Male,Major Cities of Australia,56,2021,4,2
490,12,50,775,Male,Major Cities of Australia,57,2021,4,2
491,18,100,1092,Male,Inner Regional Australia,85,2021,4,1
492,6,100,390,Male,Outer Regional Australia,24,2021,4,1
493,6,100,360,Male,Inner Regional Australia,21,2021,4,1
494,10,60,600,Male,Inner Regional Australia,31,2021,4,2
495,14,100,860,Male,Inner Regional Australia,29,2021,4,1
496,15,70,900,Male,Major Cities of Australia,28,2021,4,1
497,11,60,665,Female,Major Cities of Australia,84,2021,4,1
498,2,80,150,Male,Major Cities of Australia,24,2021,4,1
499,12,70,765,Male,Major Cities of Australia,31,2021,4,2
501,23,70,1380,Male,Inner Regional Australia,21,2021,4,1
502,17,80,1050,Male,Inner Regional Australia,39,2021,4,1
504,13,80,780,Male,Major Cities of Australia,62,2021,4,2
505,17,60,1020,Male,Major Cities of Australia,28,2021,4,2
507,12,100,735,Male,Outer Regional Australia,62,2021,4,2
508,12,100,725,Female,Inner Regional Australia,62,2021,4,2
509,1,100,105,Male,Outer Regional Australia,19,2021,4,1
510,19,100,1140,Male,Inner Regional Australia,18,2021,4,1
511,19,100,1140,Male,Inner Regional Australia,18,2021,4,1
513,19,80,1176,Male,Outer Regional Australia,39,2021,4,1
514,20,70,1230,Male,Major Cities of Australia,32,2021,4,2
515,6,110,390,Male,Outer Regional Australia,66,2021,4,1
516,13,100,780,Male,Outer Regional Australia,65,2021,4,2
517,12,100,724,Male,Outer Regional Australia,65,2021,4,1
518,5,110,320,Female,Remote Australia,29,2021,4,1
519,14,100,860,Male,Major Cities of Australia,23,2021,4,2
520,17,110,1021,Male,Major Cities of Australia,53,2021,4,2
521,11,100,660,Female,Inner Regional Australia,77,2021,4,2
522,18,100,1080,Male,Inner Regional Australia,55,2021,4,2
523,23,100,1380,Male,Very Remote Australia,35,2021,4,1
524,6,100,380,Male,Major Cities of Australia,21,2021,4,2
525,17,100,1048,Male,Outer Regional Australia,23,2021,4,1
527,10,100,600,Male,Inner Regional Australia,36,2021,4,2
528,11,100,660,Male,Inner Regional Australia,38,2021,4,2
529,17,50,1069,Male,Major Cities of Australia,31,2021,4,2
530,16,100,960,Female,Outer Regional Australia,85,2021,4,2
531,16,100,960,Male,Outer Regional Australia,76,2021,4,2
532,16,100,960,Male,Outer Regional Australia,87,2021,4,2
533,14,110,863,Male,Inner Regional Australia,86,2021,4,1
534,13,40,812,Male,Inner Regional Australia,91,2021,4,1
535,19,60,1160,Female,Major Cities of Australia,25,2021,4,1
